Timestamp,VALCCG:D10_L02:PRES,BM_DCCT:LCUR
2024/10/21 08:59:09.136,N/A,1501.3055
2024/10/21 08:59:09.461,3.4304916270950563e-7,N/A
2024/10/21 08:59:10.136,N/A,1501.2812
2024/10/21 08:59:10.461,3.4333937887003394e-7,N/A
2024/10/21 08:59:11.136,N/A,1497.9005
2024/10/21 08:59:11.461,3.465701863352731e-7,N/A
2024/10/21 08:59:12.136,N/A,1495.0005999999998
2024/10/21 08:59:12.461,3.456984348846053e-7,N/A
2024/10/21 08:59:13.136,N/A,1492.4169
2024/10/21 08:59:13.461,3.4665782781397115e-7,N/A
2024/10/21 08:59:14.136,N/A,1491.427
2024/10/21 08:59:14.461,3.4866087069419965e-7,N/A
2024/10/21 08:59:15.136,N/A,1494.7673
2024/10/21 08:59:15.461,3.4340602639728065e-7,N/A
2024/10/21 08:59:16.136,N/A,1497.9621
2024/10/21 08:59:16.462,3.4447703933040953e-7,N/A
2024/10/21 08:59:17.136,N/A,1501.0853
2024/10/21 08:59:17.461,3.4665510004796204e-7,N/A
2024/10/21 08:59:18.136,N/A,1500.2227
2024/10/21 08:59:18.461,3.43966557076284e-7,N/A
2024/10/21 08:59:19.136,N/A,1497.3763000000001
2024/10/21 08:59:19.461,3.4359469099638035e-7,N/A
2024/10/21 08:59:20.136,N/A,1494.7592
2024/10/21 08:59:20.461,3.451316419342201e-7,N/A
2024/10/21 08:59:21.136,N/A,1493.129
2024/10/21 08:59:21.461,3.4561502463942374e-7,N/A
2024/10/21 08:59:22.136,N/A,1496.3894999999998
2024/10/21 08:59:22.461,3.468728432755079e-7,N/A
2024/10/21 08:59:23.136,N/A,1500.9156
2024/10/21 08:59:23.461,3.4735155817841514e-7,N/A
2024/10/21 08:59:24.136,N/A,1500.3297
2024/10/21 08:59:24.461,3.4750155407948883e-7,N/A
2024/10/21 08:59:25.136,N/A,1497.6702
2024/10/21 08:59:25.462,3.4409613738392047e-7,N/A
2024/10/21 08:59:26.136,N/A,1494.942
2024/10/21 08:59:26.462,3.4438904588593167e-7,N/A
2024/10/21 08:59:27.136,N/A,1494.0289
2024/10/21 08:59:27.461,3.442008479273106e-7,N/A
2024/10/21 08:59:28.136,N/A,1496.9107
2024/10/21 08:59:28.461,3.4638479401597677e-7,N/A
2024/10/21 08:59:29.136,N/A,1500.5579999999998
2024/10/21 08:59:29.461,3.456978908395372e-7,N/A
2024/10/21 08:59:30.136,N/A,1500.2105
